AFE_REG_6D_Time,AFE_REG_6D_Value,ECG_Time,ECG_Value,ECG_RAW_Time,ECG_RAW_Value,TIA1-3_Time,TIA1-3_Value,TIA1-3_RAW_Time,TIA1-3_RAW_Value
0.0815,10.0,0.326,-0.013149261474609375,0.326,16754236.0,3.26,-0.6265748977661133,3.26,15682197.0,
0.082,10.0,0.328,-0.010205268859863281,0.328,16759381.0,3.28,-0.6271923065185546,3.28,15681118.0,
0.0825,10.0,0.33,0.001609039306640625,0.33,2812.0,3.3,-0.6269268035888672,3.3,15681582.0,
0.083,10.0,0.332,0.008342170715332031,0.332,14579.0,3.32,-0.625517463684082,3.32,15684045.0,
0.0835,10.0,0.334,0.006581497192382812,0.334,11502.0,3.34,-0.6233379364013671,3.34,15687854.0,
0.084,10.0,0.336,0.0016530990600585936,0.336,2889.0,3.36,-0.6202754974365234,3.36,15693206.0,
0.0845,10.0,0.338,0.0005945205688476562,0.338,1039.0,3.38,-0.6173772811889648,3.38,15698271.0,
0.085,10.0,0.34,-0.005815887451171875,0.34,16767052.0,3.4,-0.6147211074829101,3.4,15702913.0,
0.0855,10.0,0.342,-0.011281013488769531,0.342,16757501.0,3.42,-0.6123968124389648,3.42,15706975.0,
0.086,10.0,0.344,-0.012728118896484375,0.344,16754972.0,3.44,-0.610667610168457,3.44,15709997.0,
0.0865,10.0,0.346,-0.0019460678100585937,0.346,16773815.0,3.46,-0.6089836120605469,3.46,15712940.0,
0.087,10.0,0.348,0.006602096557617188,0.348,11538.0,3.48,-0.6071634292602539,3.48,15716121.0,
0.0875,10.0,0.35,0.007681846618652344,0.35,13425.0,3.5,-0.6055046081542969,3.5,15719020.0,
0.088,10.0,0.352,0.002533149719238281,0.352,4427.0,3.52,-0.6031728744506836,3.52,15723095.0,
0.0885,10.0,0.354,0.0009395599365234374,0.354,1642.0,3.54,-0.600432014465332,3.54,15727885.0,
0.089,10.0,0.356,-0.0023214340209960936,0.356,16773159.0,3.56,-0.5973838806152344,3.56,15733212.0,
0.0895,10.0,0.358,-0.0093017578125,0.358,16760960.0,3.58,-0.5936559677124024,3.58,15739727.0,
0.09,10.0,0.36,-0.012128448486328125,0.36,16756020.0,3.6,-0.5898519515991211,3.6,15746375.0,
0.0905,10.0,0.362,-0.005561256408691406,0.362,16767497.0,3.62,-0.5857549667358398,3.62,15753535.0,
0.091,10.0,0.364,0.004642868041992187,0.364,8114.0,3.64,-0.5816728591918945,3.64,15760669.0,
0.0915,10.0,0.366,0.009072303771972656,0.366,15855.0,3.66,-0.5777544021606446,3.66,15767517.0,
0.092,10.0,0.368,0.003956222534179687,0.368,6914.0,3.68,-0.5733633041381836,3.68,15775191.0,
0.0925,10.0,0.37,0.00019855499267578124,0.37,347.0,3.7,-0.5687788009643554,3.7,15783203.0,
0.093,10.0,0.372,-0.00118560791015625,0.372,16775144.0,3.72,-0.5643848419189453,3.72,15790882.0,
0.0935,10.0,0.374,-0.007474136352539062,0.374,16764154.0,3.74,-0.5602535247802735,3.74,15798102.0,
0.094,10.0,0.376,-0.012805366516113281,0.376,16754837.0,3.76,-0.5559207916259765,3.76,15805674.0,
0.0945,10.0,0.378,-0.009453964233398436,0.378,16760694.0,3.78,-0.5516138076782227,3.78,15813201.0,
0.095,10.0,0.38,0.0017875671386718749,0.38,3124.0,3.8,-0.5473434448242187,3.8,15820664.0,
0.0955,10.0,0.382,0.009020805358886719,0.382,15765.0,3.82,-0.543980598449707,3.82,15826541.0,
0.096,10.0,0.384,0.007010078430175781,0.384,12251.0,3.84,-0.5434221267700196,3.84,15827517.0,
0.0965,10.0,0.386,0.004327011108398437,0.386,7562.0,3.86,-0.5446861267089843,3.86,15825308.0,
0.097,10.0,0.388,0.0026424407958984372,0.388,4618.0,3.88,-0.5470619201660156,3.88,15821156.0,
0.0975,10.0,0.39,-0.0030315399169921872,0.39,16771918.0,3.9,-0.5494714736938476,3.9,15816945.0,
0.098,10.0,0.392,-0.00828723907470703,0.392,16762733.0,3.92,-0.5509620666503906,3.92,15814340.0,
0.0985,10.0,0.394,-0.009403610229492187,0.394,16760782.0,3.94,-0.5516040802001952,3.94,15813218.0,
0.099,10.0,0.396,0.001842498779296875,0.396,3220.0,3.96,-0.551205825805664,3.96,15813914.0,
0.0995,10.0,0.398,0.009127807617187499,0.398,15952.0,3.98,-0.5501152038574219,3.98,15815820.0,
0.1,10.0,0.4,0.00990142822265625,0.4,17304.0,4.0,-0.5480798721313477,4.0,15819377.0,
0.1005,10.0,0.402,0.0035488128662109373,0.402,6202.0,4.02,-0.5453842163085937,4.02,15824088.0,
0.101,10.0,0.404,0.002042198181152344,0.404,3569.0,4.04,-0.5424774169921874,4.04,15829168.0,
0.1015,10.0,0.406,-0.002487373352050781,0.406,16772869.0,4.06,-0.5395751953125,4.06,15834240.0,
0.102,10.0,0.408,-0.0090545654296875,0.408,16761392.0,4.08,-0.536985969543457,4.08,15838765.0,
0.1025,10.0,0.41,-0.012781333923339843,0.41,16754879.0,4.1,-0.5344779968261718,4.1,15843148.0,
